freq1,freq2,avg_power
1215,210,82.8834
1215,270,88.6688
1215,330,94.2253
1215,390,99.967
1215,450,105.51
1215,510,110.623
1215,570,115.207
1215,630,120.133
1215,690,124.78
1215,750,129.59
1215,810,135.571
1215,870,140.642
1215,930,146
1215,990,151.055
1215,1050,159.781
1215,1110,173.665
1215,1170,189.442
1215,1230,205.063
1215,1290,227.333
1215,1350,259.523
1215,1410,297.023
