freq1,freq2,avg_power
7251,210,64.1471
7251,270,65.5911
7251,390,69.3009
7251,450,70.7812
7251,510,72.5978
7251,570,74.3793
7251,690,77.7181
7251,750,79.1647
7251,810,80.7577
7251,870,82.5437
7251,930,84.1372
7251,990,85.3839
7251,1050,86.7032
7251,1170,89.2609
7251,1230,94.3897
7251,1290,99.0817
7251,1350,104.686
