freq1,freq2,avg_power
1215,210,82.744
1215,270,88.4437
1215,330,93.8796
1215,390,99.4035
1215,450,104.825
1215,510,109.703
1215,570,113.107
1215,630,118.152
1215,690,123.462
1215,750,128.419
1215,810,133.887
1215,870,139.136
1215,930,144.186
1215,990,148.986
1215,1050,155.598
1215,1110,170.175
1215,1170,184.67
1215,1230,201.13
1215,1290,221.597
1215,1350,251.683
1215,1410,287.99
