powercap,avg_power
100,99.7186
115,114.669
130,129.434
145,144.35
160,159.049
175,159.674
190,157.641
205,157.754
220,158.246
235,158.553
250,158.684
265,157.39
280,158.874
295,159.507
310,158.539
325,158.683
340,158.803
355,158.64
370,158.742
385,158.466
400,158.277
