powercap,avg_power
100,100.263
115,114.886
130,129.914
145,144.738
160,159.333
175,174.311
190,189.113
205,204.122
220,218.775
235,233.007
250,247.319
265,262.301
280,276.675
295,292.091
310,300.566
325,296.889
340,300.12
355,296.593
370,303.048
385,303.11
400,298.063
