powercap,avg_power
100,99.738
115,114.875
130,129.514
145,143.672
160,158.751
175,173.082
190,186.895
205,202.14
220,216.651
235,230.69
250,245.3
265,257.121
280,270.12
295,284.459
310,295.832
325,306.955
340,307.274
355,306.933
370,307.3
385,307.637
400,307.713
