powercap,avg_power
100,99.7728
115,114.937
130,129.895
145,144.656
160,159.516
175,173.458
190,188.33
205,203.29
220,218.106
235,233.077
250,248.294
265,261.858
280,276.287
295,291.068
310,305.536
325,318.363
340,319.651
355,319.294
370,317.558
385,319.162
400,321.314
