powercap,avg_power
100,99.6894
115,114.652
130,129.484
145,144.336
160,157.613
175,157.448
190,158.362
205,157.083
220,156.559
235,157.163
250,156.937
265,156.244
280,159.355
295,158.802
310,156.739
