powercap,avg_power
100,99.9404
115,114.834
130,129.872
145,144.516
160,159.592
175,174.513
190,189.372
205,204.273
220,219.307
235,233.915
250,248.543
265,262.536
280,266.145
295,266.239
300,269.05
