powercap,avg_power
100,99.9606
115,114.781
130,129.721
145,144.65
160,159.453
175,174.375
190,179.75
205,179.586
220,180.011
235,180.002
250,179.918
265,179.829
280,180.729
295,179.814
300,180.675
