powercap,avg_power
100,94.7713
115,92.96
130,93.0835
145,93.3229
160,93.0778
175,94.5271
190,94.4246
205,94.4008
220,94.5247
235,94.5483
250,95.0729
265,95.6587
280,94.5759
295,94.535
300,94.6485
