powercap,avg_power
100,99.3927
115,114.529
130,129.901
145,144.739
160,159.233
175,173.79
190,188.056
205,203.114
220,217.723
235,232.184
250,247.121
265,262.641
280,274.014
295,286.611
300,289.936
