powercap,avg_power
100,99.9837
115,114.746
130,129.718
145,144.652
160,159.484
175,174.403
190,181.352
205,181.097
220,180.817
235,181.149
250,180.804
265,180.823
280,181.584
295,180.682
300,180.844
