powercap,avg_power
100,99.9551
115,114.823
130,129.837
145,144.582
160,159.803
175,174.935
190,189.407
205,204.345
220,219.486
235,233.975
250,249.038
265,258.381
280,263.743
295,266.635
300,266.515
