Architecture,Run_Type,Benchmark,Max_Perf (atom-ns/day),Max_Perf_Efficiency,Opt_Eff_Perf (atom-ns/day),Opt_Eff_Efficiency,Perf_Drop_to_Max_Eff (%),Efficiency_Gain_to_Max_Eff (%),Min_EDP_Perf (atom-ns/day),Min_EDP_Efficiency,Perf_Drop_to_Min_EDP (%),Efficiency_Gain_to_Min_EDP (%)
H100-freq,frequency,STMV_NPT,84119098.85,185064.3915339863,54816670.15,292385.00027384405,34.83445388811366,57.99095539140969,70417599.05,262780.8936692552,16.28821514651782,41.99430343735067
H100-freq,frequency,STMV_NVE,91652789.55,191401.5185104115,57985942.3,302135.0503153586,36.73303062056119,57.85405082819322,75593009.8,271200.2714002727,17.52241238793806,41.69180762561214
H100-freq,frequency,TRPCage,825812.96,6207.815923767232,710688.16,7208.602953955924,13.940783879197044,16.12140312274855,824633.4400000001,6409.157433215606,0.1428313743102194,3.243355020845877
H100-freq,frequency,myoglobin,5404923.72,20083.69502774333,3513121.92,27864.04416323362,35.00145234242085,38.73962995724952,4561082.68,25922.832649300228,15.612450493565893,29.074020559915866
H100-freq,frequency,nucleosome,1902953.85,3816.807529227256,1161898.5,5806.115805784943,38.942371093234875,52.1196906400056,1581486.9,5116.571399353257,16.893050243966776,34.05369173512265
H200-cap,powercap,Cellulose_NPT,96456240.54,216563.90906154475,87777385.38,253049.79878469952,8.99771244598832,16.847631667373506,87777385.38,253049.79878469952,8.99771244598832,16.847631667373506
H200-cap,powercap,Cellulose_NVE,102115475.19,218977.46643132795,91401747.21,262765.6236725721,10.491777039734309,19.996649863047093,91401747.21,262765.6236725721,10.491777039734309,19.996649863047093
H200-cap,powercap,FactorIX_NPT,66013210.02,205665.19339595473,66013210.02,205665.19339595473,0.0,0.0,66013210.02,205665.19339595473,0.0,0.0
H200-cap,powercap,FactorIX_NVE,68616757.86,211004.85405611288,68454945.17999999,211841.20965597793,0.23582093506976307,0.39636794310079804,68454945.17999999,211841.20965597793,0.23582093506976307,0.39636794310079804
H200-cap,powercap,JAC_NPT,34868195.8,161985.7593759685,34608586.64,164386.80282336386,0.7445442875481285,1.4822558826436925,34848642.66,164311.1129364024,0.05607729207486152,1.4355296227224261
H200-cap,powercap,JAC_NVE,36301228.940000005,169427.42084902513,36248223.440000005,169744.80978363557,0.14601571778082065,0.18733032293117555,36248223.440000005,169744.80978363557,0.14601571778082065,0.18733032293117555
H200-cap,powercap,STMV_NPT,95974524.3,197291.92629621967,84834052.5,232420.81765578256,11.607738492328217,17.80553924280682,87064281.05,226673.97236944307,9.283967089170558,14.89267534907048
H200-cap,powercap,STMV_NVE,104425916.7,203650.2313077444,89796044.25,244849.48947537155,14.009809932556717,20.230400870681667,92538478.4,239237.41391558803,11.383609237686487,17.474658574812196
H200-cap,powercap,TRPCage,913860.48,7295.938848524544,911294.72,7296.632103014511,0.28076058174657137,0.009501922978802476,913860.48,7295.938848524544,0.0,0.0
H200-cap,powercap,myoglobin,5937439.2,22518.100707130143,5937439.2,22518.100707130143,0.0,0.0,5937439.2,22518.100707130143,0.0,0.0
H200-cap,powercap,nucleosome,2153151.0,3653.0640010715674,1756399.0499999998,4799.238500714772,18.426573426573437,31.37570267881956,1838710.65,4728.545011066779,14.60372960372961,29.440519237542418
H200-freq,frequency,Cellulose_NPT,96394949.19,217035.66536089245,61736733.81,299692.67378710915,35.95438938578271,38.0845278534164,84177540.09,266306.4826756371,12.674324954431768,22.701714592767917
H200-freq,frequency,Cellulose_NVE,102074614.29,222404.81335998888,67894471.44,305206.424815453,33.485448941195315,37.23013463806639,88525139.85000001,271808.2036819803,13.274088307113402,22.213273883612455
H200-freq,frequency,FactorIX_NPT,64927792.38,213224.06927281644,48362901.06,273411.8090051183,25.512789997619812,28.22746040705786,61652449.2,231021.2700150932,5.044593478291306,8.346712827952626
H200-freq,frequency,FactorIX_NVE,68197681.2,211306.55216108696,52228224.18,279027.44591236586,23.41642228739003,32.048648306775036,62445149.52,244529.7942873852,8.435083977605972,15.722769496031006
H200-freq,frequency,JAC_NPT,34718602.5,164434.78718232695,26040777.62,205097.91019515492,24.994741306191685,24.729027056629015,31446396.299999997,190356.33379366592,9.424936386768456,15.764028436754627
H200-freq,frequency,JAC_NVE,35170444.940000005,172972.45045747986,26858475.799999997,210262.6102356069,23.633392054550466,21.558438745303963,34173470.379999995,187164.4910325195,2.8346941919581234,8.204798242439377
H200-freq,frequency,STMV_NPT,95686408.65,196971.2830971949,61763458.6,271456.7896563472,35.45221367235419,37.8154142004536,83564209.45,239532.01540976457,12.668674026987848,21.607582406603008
H200-freq,frequency,STMV_NVE,104255181.5,203477.0535418159,65434265.4,280217.6822976814,37.236438075742065,37.714635345894074,93370812.5,241440.7817659307,10.440122824974411,18.657498505753132
H200-freq,frequency,TRPCage,909975.36,7265.796601622858,696789.28,7596.300542374179,23.42767610762559,4.548764008580979,909975.36,7265.796601622858,0.0,0.0
H200-freq,frequency,myoglobin,5823181.0,22210.985851217883,4280483.48,28442.814183867165,26.492350486787196,28.05741435519205,5300558.760000001,25777.38028339414,8.974858243286604,16.056893899559633
H200-freq,frequency,nucleosome,2151394.35,3655.982721512549,1243959.15,5571.434954266317,42.178933862125284,52.39226710462431,1900444.35,4571.482444348455,11.66452816983553,25.041139211323916
