Architecture,Run_Type,Benchmark,Max_Perf (atom-ns/day),Max_Perf_Efficiency,Opt_Eff_Perf (atom-ns/day),Opt_Eff_Efficiency,Perf_Drop_to_Max_Eff (%),Efficiency_Gain_to_Max_Eff (%),Min_EDP_Perf (atom-ns/day),Min_EDP_Efficiency,Perf_Drop_to_Min_EDP (%),Efficiency_Gain_to_Min_EDP (%)
gromacs_H100_cap,powercap,2md_start0,447.706,1.1259482649278476,429.529,1.2544849969543326,4.060030466422165,11.415864834137986,429.529,1.2544849969543326,4.060030466422165,11.415864834137986
gromacs_H100_cap,powercap,PI_large_test,227.238,0.5093640287935796,213.952,0.5832762825781086,5.846733380860596,14.510693650587973,213.952,0.5832762825781086,5.846733380860596,14.510693650587973
gromacs_H100_cap,powercap,eag1,70.858,0.152253967191241,64.227,0.1849605561244004,9.358152925569449,21.481600470927475,64.227,0.1849605561244004,9.358152925569449,21.481600470927475
gromacs_H100_cap,powercap,rnanvt,1166.7,3.216099733562142,1135.031,3.2926973291359394,2.714408159766872,2.3816921712486248,1166.7,3.216099733562142,0.0,0.0
gromacs_H100_cap,powercap,stmv_pme_nvt,41.711,0.087052368863549,37.486,0.107755779488821,10.129222507252287,23.78270792116379,37.486,0.107755779488821,10.129222507252287,23.78270792116379
gromacs_H100_freq,frequency,2md_start0,422.464,1.094709599345666,267.753,1.714820293710615,36.62110854415998,56.64613654028465,351.356,1.5063320134019482,16.831730040902894,37.601060071302825
gromacs_H100_freq,frequency,FL_md1_berendsen,395.332,1.3007375623616673,272.459,1.9927394379677552,31.080964859915213,53.20072977285777,329.444,1.8240869540670193,16.66649803203383,40.23481806392517
gromacs_H100_freq,frequency,PI_large_test,213.327,0.4943549740072895,135.062,0.7988326511322422,36.6878079192976,61.590899886538416,176.617,0.6902115084077762,17.20832337210011,39.61860296718664
gromacs_H100_freq,frequency,eag1,66.615,0.1482086199166895,42.361,0.2403138195153664,36.40921714328604,62.14564284482965,52.935,0.2183537018415714,20.53591533438414,47.3286114966266
gromacs_H100_freq,frequency,rnanvt,1107.833,3.099653591037208,709.551,4.773759799796719,35.951447555723654,54.00946136691746,886.821,4.363339565590778,19.94993830297527,40.76861937758387
gromacs_H100_freq,frequency,stmv_pme_nvt,39.313,0.0851858068392294,25.154,0.1382133870124947,36.01607610714014,62.249313754043435,31.286,0.1253454373419645,20.418182280670518,47.143570029838536
gromacs_H200_cap,powercap,2md_start0,447.228,1.1967418511303027,435.244,1.2666980494014697,2.679617555251456,5.845554595178107,435.244,1.2666980494014697,2.679617555251456,5.845554595178107
gromacs_H200_cap,powercap,PI_large_test,226.743,0.5391996812190533,212.114,0.607530680037606,6.451797850429777,12.67267047785825,212.114,0.607530680037606,6.451797850429777,12.67267047785825
gromacs_H200_cap,powercap,eag1,70.845,0.1596898201774002,64.694,0.1866159994560167,8.682334674288935,16.86155025329986,64.694,0.1866159994560167,8.682334674288935,16.86155025329986
gromacs_H200_cap,powercap,rnanvt,1167.806,3.4132589848708266,1164.677,3.419633203265489,0.2679383390734534,0.1867487472505309,1167.544,3.4143622011936428,0.02243523324935337,0.03232149472706747
gromacs_H200_cap,powercap,stmv_pme_nvt,42.038,0.0913047596254501,37.875,0.1089810860389271,9.90294495456491,19.359698756109474,37.875,0.1089810860389271,9.90294495456491,19.359698756109474
gromacs_H200_freq,frequency,2md_start0,423.848,1.1494275565514276,273.463,1.6089379974174822,35.48087993809101,39.9773294321133,357.976,1.4650770606489645,15.541420509239165,27.461452642092986
gromacs_H200_freq,frequency,FL_md1_berendsen,399.45,1.3600931620027443,280.29,1.879287831354038,29.83101764926774,38.17346369029433,350.523,1.7114291486803674,12.24859181374389,25.831758918652238
gromacs_H200_freq,frequency,PI_large_test,213.709,0.5196704762882212,136.569,0.7438074984477356,36.09581253012274,43.13060533290772,178.761,0.6699496470343981,16.353078251266915,28.918165953847385
gromacs_H200_freq,frequency,eag1,66.902,0.1541394832065874,43.038,0.2201117146546724,35.67008460135722,42.800345554334626,56.458,0.1982145530957351,15.610893545783389,28.59427641266678
gromacs_H200_freq,frequency,rnanvt,1111.349,3.260174638931459,730.91,4.491550420942663,34.23218089007143,37.77023989165178,951.219,4.103958348588604,14.408615115503762,25.88154939864509
gromacs_H200_freq,frequency,stmv_pme_nvt,39.672,0.0884430737507004,25.474,0.1256392615811128,35.788465416414596,42.056643050714676,33.449,0.1138386362364449,15.686126235128048,28.714020678802317
